date,low,high,price,chili_type,month
2025-10-11,300.0,450.0,375.9,siling_labuyo,10
2025-10-12,400.0,700.0,570.0,siling_labuyo,10
2025-10-13,200.0,350.0,272.35,siling_labuyo,10
2025-10-14,200.0,350.0,275.36,siling_labuyo,10
2025-10-15,200.0,350.0,285.38,siling_labuyo,10
2025-10-16,200.0,350.0,282.99,siling_labuyo,10
2025-10-17,200.0,350.0,281.49,siling_labuyo,10
2025-10-18,200.0,350.0,273.08,siling_labuyo,10
2025-10-20,180.0,350.0,279.24,siling_labuyo,10
2025-10-21,180.0,350.0,272.1,siling_labuyo,10
2025-10-22,180.0,350.0,270.0,siling_labuyo,10
2025-10-23,180.0,350.0,180.0,siling_labuyo,10
2025-10-24,180.0,350.0,269.06,siling_labuyo,10
2025-10-25,180.0,350.0,267.27,siling_labuyo,10
2025-10-27,200.0,310.0,249.81,siling_labuyo,10
2025-10-28,150.0,350.0,256.43,siling_labuyo,10
2025-10-29,180.0,350.0,260.0,siling_labuyo,10
2025-10-30,180.0,350.0,260.17,siling_labuyo,10
2025-10-31,180.0,350.0,257.11,siling_labuyo,10
2025-11-07,100.0,180.0,141.13,siling_labuyo,11
2025-11-08,400.0,550.0,484.61,siling_labuyo,11
2025-11-09,360.0,800.0,631.44,siling_labuyo,11
2025-11-11,300.0,550.0,422.29,siling_labuyo,11
2025-11-12,400.0,700.0,563.15,siling_labuyo,11
2025-11-13,350.0,800.0,536.0,siling_labuyo,11
2025-11-14,300.0,800.0,512.29,siling_labuyo,11
2025-11-15,300.0,800.0,499.9,siling_labuyo,11
2025-11-17,300.0,650.0,481.98,siling_labuyo,11
2025-11-18,300.0,700.0,513.5,siling_labuyo,11
2025-11-19,350.0,700.0,526.19,siling_labuyo,11
2025-11-20,350.0,700.0,527.38,siling_labuyo,11
2025-11-21,300.0,700.0,507.52,siling_labuyo,11
2025-11-22,350.0,700.0,484.06,siling_labuyo,11
2025-11-24,350.0,700.0,518.18,siling_labuyo,11
2025-11-25,450.0,600.0,518.05,siling_labuyo,11
2025-11-26,350.0,700.0,526.67,siling_labuyo,11
2025-11-27,350.0,700.0,530.58,siling_labuyo,11
